"munnom","regadm","mpopul","msuperf"
"Labrecque","Saguenay--Lac-Saint-Jean (02)",1350,158.4
"Lac-au-Saumon","Bas-Saint-Laurent (01)",1400,85
"Lac-aux-Sables","Mauricie (04)",1283,288.6
"Lac-Beauport","Capitale-Nationale (03)",7905,64.2
"Lac-Bouchette","Saguenay--Lac-Saint-Jean (02)",1165,978.7
"Lac-Brome","Montérégie (16)",5595,222.9
"Lac-Delage","Capitale-Nationale (03)",696,2.1
"Lac-des-Aigles","Bas-Saint-Laurent (01)",517,90.8
"Lac-des-Écorces","Laurentides (15)",2775,155.9
"Lac-des-Plages","Outaouais (07)",431,167.5
"Lac-des-Seize-Îles","Laurentides (15)",158,13.2
"Lac-Drolet","Estrie (05)",1033,128.1
"Lac-du-Cerf","Laurentides (15)",482,94.4
"Lac-Édouard","Mauricie (04)",184,993
"Lac-Etchemin","Chaudière-Appalaches (12)",3892,161.8
"Lac-Frontière","Chaudière-Appalaches (12)",176,51.4
"Lachute","Laurentides (15)",13427,112.8
"Lac-Mégantic","Estrie (05)",5601,25.2
"Lacolle","Montérégie (16)",2655,53.2
"Lac-Poulin","Chaudière-Appalaches (12)",146,1.5
"Lac-Saguay","Laurentides (15)",456,185.2
"Lac-Sainte-Marie","Outaouais (07)",601,240.2
"Lac-Saint-Joseph","Capitale-Nationale (03)",262,42.3
"Lac-Saint-Paul","Laurentides (15)",477,185.3
"Lac-Sergent","Capitale-Nationale (03)",505,5.6
"Lac-Simon","Outaouais (07)",969,121.9
"Lac-Supérieur","Laurentides (15)",1906,386.3
"Lac-Tremblant-Nord","Laurentides (15)",44,27.8
"Laforce","Abitibi-Témiscamingue (08)",550,590.9
"Lamarche","Saguenay--Lac-Saint-Jean (02)",481,93.7
"Lambton","Estrie (05)",1607,124.4
"L'Ancienne-Lorette","Capitale-Nationale (03)",16727,7.7
"Landrienne","Abitibi-Témiscamingue (08)",934,277.5
"L'Ange-Gardien","Outaouais (07)",5814,224.2
"L'Ange-Gardien","Capitale-Nationale (03)",3807,53.6
"Lanoraie","Lanaudière (14)",5017,115.4
"L'Anse-Saint-Jean","Saguenay--Lac-Saint-Jean (02)",1242,534.2
"Lantier","Laurentides (15)",903,54.4
"Larouche","Saguenay--Lac-Saint-Jean (02)",1612,89.2
"L'Ascension","Laurentides (15)",824,352.4
"L'Ascension-de-Notre-Seigneur","Saguenay--Lac-Saint-Jean (02)",2044,139.2
"L'Ascension-de-Patapédia","Gaspésie--Îles-de-la-Madeleine (11)",163,97
"L'Assomption","Lanaudière (14)",23380,100.7
"Latulipe-et-Gaboury","Abitibi-Témiscamingue (08)",290,300
"Launay","Abitibi-Témiscamingue (08)",217,259.2
"Laurier-Station","Chaudière-Appalaches (12)",2576,12
"Laurierville","Centre-du-Québec (17)",1322,108.8
"Laval","Laval (13)",439754,266.8
"Lavaltrie","Lanaudière (14)",14157,79.5
"L'Avenir","Centre-du-Québec (17)",1388,99
"Laverlochère-Angliers","Abitibi-Témiscamingue (08)",958,491.3
"Lawrenceville","Estrie (05)",632,17.2
"Lebel-sur-Quévillon","Nord-du-Québec (10)",2156,43
"Leclercville","Chaudière-Appalaches (12)",479,135.8
"Lefebvre","Centre-du-Québec (17)",948,66.1
"Lejeune","Bas-Saint-Laurent (01)",266,274.7
"Lemieux","Centre-du-Québec (17)",303,74.5
"L'Épiphanie","Lanaudière (14)",8899,58.2
"Léry","Montérégie (16)",2363,10.6
"Les Bergeronnes","Côte-Nord (09)",640,289.2
"Les Cèdres","Montérégie (16)",7076,88.1
"Les Coteaux","Montérégie (16)",5477,14.5
"Les Éboulements","Capitale-Nationale (03)",1327,157.3
"Les Escoumins","Côte-Nord (09)",1845,284.8
"Les Hauteurs","Bas-Saint-Laurent (01)",478,105.1
"Les Îles-de-la-Madeleine","Gaspésie--Îles-de-la-Madeleine (11)",12146,33924.4
"Les Méchins","Bas-Saint-Laurent (01)",940,474.3
